    PID TTY          TIME CMD
      1 ?        00:00:00 systemd
      2 hvc0     00:00:00 init-systemd(Ub
      6 hvc0     00:00:00 init
     46 ?        00:00:00 systemd-journal
     78 ?        00:00:00 systemd-resolve
     84 ?        00:00:00 systemd-udevd
    103 ?        00:00:00 (udev-worker)
    104 ?        00:00:00 (udev-worker)
    105 ?        00:00:00 (udev-worker)
    106 ?        00:00:00 (udev-worker)
    107 ?        00:00:00 (udev-worker)
    108 ?        00:00:00 (udev-worker)
    109 ?        00:00:00 (udev-worker)
    110 ?        00:00:00 (udev-worker)
    111 ?        00:00:00 (udev-worker)
    112 ?        00:00:00 (udev-worker)
    113 ?        00:00:00 (udev-worker)
    114 ?        00:00:00 (udev-worker)
    115 ?        00:00:00 (udev-worker)
    116 ?        00:00:00 (udev-worker)
    117 ?        00:00:00 (udev-worker)
    118 ?        00:00:00 (udev-worker)
    119 ?        00:00:00 (udev-worker)
    120 ?        00:00:00 (udev-worker)
    121 ?        00:00:00 (udev-worker)
    122 ?        00:00:00 (udev-worker)
    123 ?        00:00:00 (udev-worker)
    124 ?        00:00:00 (udev-worker)
    125 ?        00:00:00 (udev-worker)
    126 ?        00:00:00 (udev-worker)
    127 ?        00:00:00 (udev-worker)
    128 ?        00:00:00 (udev-worker)
    129 ?        00:00:00 (udev-worker)
    130 ?        00:00:00 (udev-worker)
    131 ?        00:00:00 (udev-worker)
    132 ?        00:00:00 (udev-worker)
    133 ?        00:00:00 (udev-worker)
    134 ?        00:00:00 (udev-worker)
    135 ?        00:00:00 (udev-worker)
    136 ?        00:00:00 (udev-worker)
    137 ?        00:00:00 (udev-worker)
    138 ?        00:00:00 (udev-worker)
    139 ?        00:00:00 (udev-worker)
    140 ?        00:00:00 (udev-worker)
    141 ?        00:00:00 (udev-worker)
    142 ?        00:00:00 (udev-worker)
    154 ?        00:00:00 chronyd-starter
    155 ?        00:00:00 cron
    156 ?        00:00:00 dbus-daemon
    160 ?        00:00:00 networkd-dispat
    163 ?        00:00:00 snapd
    164 ?        00:00:00 systemd-logind
    167 ?        00:00:00 wsl-pro-service
    194 ?        00:00:00 rsyslogd
    204 tty1     00:00:00 agetty
    209 ?        00:00:00 unattended-upgr
    229 ?        00:00:00 chronyd
    239 ?        00:00:00 chronyd
    277 ?        00:00:00 systemd-timedat
    321 ?        00:00:00 login
    368 ?        00:00:00 systemd
    370 ?        00:00:00 (sd-pam)
    393 pts/1    00:00:00 bash
    428 ?        00:00:00 SessionLeader
    429 ?        00:00:00 Relay(430)
    430 pts/0    00:00:00 bash
    431 pts/0    00:00:00 ps
